Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
LoginPage,824,435,9,7097,"999,96","81,31%","2,1","7,61","3717,7"
selectDeLanguage,822,211,8,3897,"533,55","84,06%","2,1","2,94","1426,3"
LoginPageDE,818,460,8,5889,"967,00","75,92%","2,1","9,24","4504,5"
userLogin,813,1329,9,21466,"3175,10","81,43%","2,1","10,83","5330,2"
MainPage,809,1016,7,17926,"2457,97","76,76%","2,1","12,54","6171,6"
PlayersPage,806,1450,8,25238,"4098,76","79,90%","2,1","13,35","6544,4"
userSearchPlayer,801,844,9,17892,"2867,26","62,67%","2,1","4,27","2097,5"
userGoToStartPage,799,835,8,13216,"2038,67","79,60%","2,1","11,09","5455,8"
userGoToMatchesPage,791,816,7,11374,"1851,22","79,39%","2,1","12,29","6095,5"
userSearchMatch,787,1159,8,26744,"4042,48","62,52%","2,1","3,25","1617,6"
userOpenMatch,1566,1309,6,43577,"3889,84","81,99%","4,1","43,77","11015,3"
userCloseMatch,776,1336,9,26818,"4021,49","81,19%","2,0","10,14","5068,9"
StartPage,2263,732,8,16356,"1855,90","83,34%","6,0","26,01","4443,6"
userGoToExersicePage,765,870,8,16323,"2239,89","81,57%","2,0","24,47","12240,7"
userOpenExercise,762,1218,9,18774,"3337,26","80,58%","2,0","28,14","14089,6"
userGoToTrainingsPage,749,674,7,9468,"1530,83","81,04%","2,0","10,61","5345,8"
useerOpenTraining,745,1290,7,36068,"3738,22","82,15%","2,0","20,15","10238,0"
userCloseTraining,739,603,8,9069,"1421,61","82,54%","2,0","9,96","4982,2"
userLogOut,727,673,9,7059,"1213,03","69,74%","2,0","10,68","5423,5"
TOTAL,17162,910,6,43577,"2720,49","78,90%","43,5","260,60","6132,8"
