Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
LoginPage,5021,620,8,16855,"1459,18","81,46%","2,8","10,06","3693,5"
selectDeLanguage,5020,316,7,14647,"892,55","87,01%","2,8","3,57","1308,4"
LoginPageDE,5012,680,8,15767,"1441,87","76,40%","2,8","12,06","4429,0"
userLogin,5005,1188,8,28045,"3108,79","83,84%","2,8","10,88","4002,0"
MainPage,5001,967,8,25568,"2513,16","80,16%","2,8","12,50","4592,3"
PlayersPage,4991,1155,8,31707,"3612,61","79,74%","2,8","13,08","4804,2"
userSearchPlayer,4986,608,8,24309,"2444,04","64,00%","2,8","3,30","1213,4"
userGoToStartPage,4982,950,8,24111,"2392,85","80,51%","2,8","12,40","4556,4"
userGoToMatchesPage,4969,784,8,18523,"1948,23","80,72%","2,8","12,19","4480,5"
userSearchMatch,4962,749,8,26899,"3247,03","64,09%","2,8","2,81","1034,7"
userOpenMatch,9901,1106,6,47649,"3390,58","81,38%","5,6","35,94","6603,4"
userCloseMatch,4941,979,8,34573,"2913,48","79,86%","2,8","12,32","4493,0"
StartPage,14729,879,8,21471,"2092,78","80,29%","8,5","37,57","4542,6"
userGoToExersicePage,4926,850,9,19615,"2159,31","81,16%","2,8","20,76","7473,1"
userOpenExercise,4921,1142,8,47191,"3327,04","80,27%","2,8","24,65","8867,1"
userGoToTrainingsPage,4906,693,8,19077,"1609,19","81,02%","2,9","12,38","4430,1"
useerOpenTraining,4900,1156,8,47424,"3334,47","81,02%","2,9","20,75","7422,6"
userCloseTraining,4891,752,8,22511,"1712,34","79,66%","2,9","13,22","4732,9"
userLogOut,4880,829,7,15625,"1453,62","67,64%","2,9","16,02","5737,6"
TOTAL,108944,875,6,47649,"2524,52","78,74%","60,4","278,74","4723,7"
